# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 -0.298794 -0.00535535
200 0.127517 -0.167912
300 -0.527893 -0.452009
400 0.457223 -0.0703756
500 -0.357922 -0.165372
600 0.391798 1.00659
700 0.624016 -0.421904
800 -1.30194 0.475064
900 2.23652 0.378674
1000 0.0853254 -0.0919066
1100 -0.535467 0.258184
1200 -0.256928 -0.80735
1300 -1.00036 -0.141213
1400 0.552758 0.149658
1500 -0.787063 0.181517
1600 0.733516 0.389296
1700 0.806305 0.192376
1800 0.371182 -0.279061
1900 -0.392664 0.525317
2000 -0.800931 -0.0844141
2100 1.00964 -0.176894
2200 -1.01976 0.209902
2300 -1.01852 -0.824206
2400 1.23191 -1.50768
2500 -0.713121 0.958962
2600 0.115819 1.63158
2700 1.30796 0.370073
2800 -0.863829 -1.53416
2900 -0.742163 0.368484
3000 1.43839 -0.060223
3100 -0.536306 -0.939505
3200 -0.726693 -0.192432
3300 -0.440781 -0.635824
3400 -0.480406 0.60589
3500 0.145859 0.367786
3600 0.144742 0.635573
3700 1.14276 -0.0677447
3800 -0.00367224 -0.0467336
3900 0.0588697 0.040687
4000 -0.337353 0.860777
4100 -1.37386 -1.30008
4200 1.00946 0.0976122
4300 0.518464 0.467258
4400 -0.0261603 -0.81974
4500 -0.0957272 -0.474622
4600 0.260695 0.927556
4700 0.869999 1.34902
4800 0.573617 -0.0798869
4900 -0.952707 0.17116
5000 -0.259759 -0.730094
5100 0.749702 0.551316
5200 -1.32231 -1.41038
5300 0.275397 0.254004
5400 0.866932 1.12815
5500 -0.525976 -0.285103
5600 -0.182473 -0.218023
5700 0.718692 0.406668
5800 0.440307 0.402523
5900 -0.132652 -0.409122
6000 -0.229731 0.0421039
6100 -1.34963 -1.56703
6200 -0.87661 -1.0047
6300 0.685075 1.25403
6400 0.485358 0.413209
6500 0.060868 -1.14483
6600 0.25479 0.759169
6700 0.0208131 0.470522
6800 -0.622122 -0.751155
6900 -0.283215 -0.233506
7000 0.445714 0.986651
7100 -0.858286 -0.751845
7200 -1.14616 -0.67303
7300 1.02593 -0.682038
7400 0.564343 1.424
7500 0.374406 0.951282
7600 1.31512 0.3011
7700 -0.637087 0.18635
7800 0.148442 -1.24524
