# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
100 0.00318449 -0.349235
200 0.442034 -0.376807
300 -0.334065 0.429296
400 -2.326 0.169661
500 0.754445 1.60131
600 0.982823 0.574511
700 2.60807 -1.11666
800 -1.35055 -0.302427
900 -0.206754 0.287322
1000 0.495753 -0.0677221
1100 0.739874 -0.550018
1200 -0.0686923 -0.396136
1300 -0.76594 -0.925131
1400 -0.62076 -0.801894
1500 0.469536 1.19806
1600 -1.95223 0.81276
1700 1.78432 -1.31372
1800 1.2879 1.23597
1900 -0.090328 2.22982
2000 -2.85625 -0.0839439
2100 -0.508036 -1.50877
2200 0.213862 -0.9358
2300 -0.25252 -1.18921
2400 0.99824 -0.497493
2500 0.000295196 0.799932
2600 0.117327 -1.03165
2700 1.49467 0.312406
2800 0.593461 0.79552
2900 -0.340073 -0.124541
3000 0.343177 0.483615
3100 1.11018 0.467117
3200 -1.43098 -1.74443
3300 -0.71533 1.41915
3400 -1.1948 -0.782226
3500 -0.792039 1.71635
3600 -0.451409 1.44264
3700 0.973623 -0.908776
3800 0.962175 -0.956756
3900 1.49911 -0.162047
4000 0.508791 1.48736
4100 -0.0220647 -0.267161
4200 -0.205613 -0.763682
4300 -1.63454 -1.35703
4400 -0.361725 -0.485452
4500 1.24978 -1.31413
4600 0.134802 -1.01561
4700 0.84168 0.444911
4800 0.47504 3.36734
4900 -1.01238 1.35303
5000 -1.43816 -0.186938
5100 0.0502944 -0.593694
5200 0.227682 -0.886352
5300 -1.34308 -0.303201
5400 0.177813 -0.0375775
5500 1.37257 -0.089053
5600 -1.79525 -0.104796
5700 -0.350399 0.499367
5800 0.673204 -1.23571
5900 1.29679 -0.165792
6000 2.3037 0.429808
6100 1.23337 -1.82841
6200 -1.4142 0.932569
6300 -1.121 0.378127
6400 -0.505197 -0.485586
6500 -0.466915 -0.307192
6600 -0.646973 0.902905
6700 1.10398 0.132417
6800 0.513169 1.82943
6900 -1.30084 0.175991
7000 0.640866 1.44662
7100 1.4149 -1.25669
7200 -0.964693 0.882674
7300 -0.187561 0.083435
7400 0.619382 -1.39448
7500 0.428723 -3.12599
7600 0.772497 -1.68922
7700 0.553407 1.88353
7800 -1.92063 2.2943
7900 -0.0787972 -0.0285687
8000 0.642991 -0.65364
8100 1.21012 -0.344978
8200 -0.27881 -0.466471
8300 -1.77263 0.244853
8400 -0.457825 0.433131
8500 -0.95318 -0.360132
8600 0.106371 0.52192
8700 -1.45684 0.087855
8800 0.762579 -1.13591
8900 1.01013 0.766015
9000 2.70811 -1.74701
9100 0.31865 -1.08204
9200 -0.938433 1.4135
9300 0.272573 1.34816
9400 -0.793231 -1.09928
9500 -0.0936711 -0.211521
9600 -0.764476 -1.55745
9700 2.31057 -0.540186
9800 -1.07386 0.73213
9900 -0.664376 2.9767
10000 0.389069 1.1725
10100 0.476961 0.143891
10200 -1.18464 0.831504
10300 0.766882 -0.362609
10400 1.38452 -1.26007
10500 0.205867 -0.834301
10600 0.177983 -1.08912
10700 -0.90185 -0.435788
10800 0.47207 0.323287
10900 -0.190307 -0.0882944
11000 2.11036 0.186086
11100 0.403407 -0.827536
11200 -1.14593 1.17406
11300 -0.112923 -0.204034
11400 -2.19123 -0.211855
11500 -0.741054 0.527595
11600 -0.0787595 0.0722151
11700 -0.665001 -0.515471
11800 0.27232 -0.0276734
11900 1.01018 -0.0574699
12000 0.408259 -0.459605
12100 0.451844 -0.0635885
12200 -0.97573 0.245178
12300 -0.0193782 -1.24562
12400 2.10651 -0.418974
12500 0.942166 -0.27812
12600 -0.637612 -1.75052
12700 -1.13514 0.514675
12800 0.0473545 1.07146
12900 -0.648701 0.806471
13000 0.858677 1.50894
13100 0.538726 0.334154
13200 -0.557093 -0.821833
13300 0.203839 -0.171354
13400 0.584934 0.731937
13500 -0.30603 1.42441
13600 -0.681522 -0.512696
13700 0.481334 -1.59796
13800 -0.25314 -0.591255
13900 2.09848 -1.85799
14000 0.0743889 1.19596
14100 1.93798 0.0270081
14200 0.400136 -0.426543
14300 -1.85248 1.68142
14400 -1.91953 -1.11336
14500 0.35312 -0.375412
14600 1.41984 0.762998
14700 -0.533202 0.306876
14800 -0.958568 -1.52066
14900 -1.33987 0.675582
15000 -0.590813 0.476918
15100 0.102093 1.88929
15200 1.66642 -0.782272
15300 1.30323 -1.52262
15400 -0.223595 -1.64608
15500 -0.0843814 0.252141
15600 -0.817062 -0.0562131
15700 0.761517 -1.68
15800 -0.61671 -0.387092
15900 0.77417 0.846435
16000 1.27439 1.02203
16100 0.634729 -0.633278
16200 -2.03848 1.1578
16300 -0.148011 0.167586
16400 -0.168232 0.31933
16500 -1.4506 1.01566
16600 1.42429 1.08257
16700 0.162714 -1.80772
16800 0.097383 -0.868038
16900 1.24006 0.0611496
17000 -0.377995 0.154488
17100 0.663655 -0.645978
17200 1.45209 -0.242007
17300 -0.456369 -0.767236
17400 0.662539 1.10483
17500 0.85685 -0.590162
17600 -1.73188 -0.550631
17700 -0.80364 0.525766
17800 0.147645 0.960484
17900 -1.05068 -0.736593
18000 -0.439678 1.48134
18100 1.51253 -0.750956
18200 -0.785017 0.879057
18300 -0.329645 -0.2239
18400 0.842316 -1.44352
18500 -0.302492 -0.646697
18600 0.628604 -0.402161
18700 -0.0486439 -0.579992
18800 0.882502 -0.579247
18900 0.449783 -0.915377
19000 -0.609941 -0.55984
19100 1.03663 1.4373
19200 -0.0472046 0.814351
19300 -1.50449 -0.543995
19400 0.536585 1.13294
19500 -0.319559 1.3173
19600 -0.897044 -0.476278
19700 -0.800959 0.824211
19800 0.040847 -0.494197
19900 0.432067 -1.28028
20000 0.985466 -0.174667
20100 0.913546 0.795861
20200 0.928083 -0.863306
20300 0.603961 1.06995
20400 1.20554 -1.7661
20500 0.310437 -2.23181
20600 -1.27004 0.174285
20700 0.14805 0.93138
20800 -0.028114 0.558385
20900 0.32487 1.40773
21000 -1.81544 -0.460744
21100 -1.31399 0.235702
21200 0.11994 0.70179
21300 0.815422 -0.356039
21400 1.19668 -1.38035
21500 0.498613 0.710467
21600 -0.85671 0.479839
21700 -1.04818 -1.66855
21800 0.201448 -0.16212
21900 0.942628 -1.29539
22000 1.27609 -0.575194
22100 0.462894 0.382362
22200 0.628441 -0.0322521
22300 -0.7655 0.365989
22400 -0.88025 0.248799
22500 -0.896378 0.856151
22600 -0.0808682 -0.250811
22700 -0.220865 0.894872
22800 1.03447 -0.262781
22900 0.14721 -0.819411
23000 -0.510191 0.0570504
23100 -0.69672 0.970555
23200 1.07682 1.05928
23300 1.54979 -0.995911
23400 0.303604 -1.68167
23500 0.690653 -1.55274
23600 0.984549 -1.18874
23700 -0.544194 1.06445
23800 0.128262 1.59718
23900 -1.06626 1.29285
24000 -0.339703 -0.439565
24100 -0.64596 -1.16924
24200 -0.220557 -0.225621
24300 0.700091 0.5163
24400 1.24467 0.608822
24500 -0.956218 0.114392
24600 -1.70226 0.346341
24700 -1.08842 -0.968291
24800 1.75865 -1.61537
24900 2.93249 -0.225311
25000 0.287774 -0.64393
25100 0.0434055 0.37261
25200 -1.19973 -0.993879
25300 -0.787979 0.220276
25400 -0.720063 0.530278
25500 0.391377 1.30101
25600 1.46784 -0.250847
25700 -0.303529 -0.388491
25800 -1.09363 -1.57297
25900 0.0727553 1.00807
26000 -0.716368 3.3391
26100 1.20816 -0.189492
26200 1.07988 -1.60239
26300 -0.686468 -0.642472
26400 1.48614 -1.39259
26500 -0.120415 -1.57338
26600 0.578575 1.63763
26700 0.722841 0.625683
26800 -0.283299 -1.11995
26900 -0.830264 0.17703
27000 0.242979 -0.108344
27100 1.111 -0.0857094
27200 0.171401 1.31429
27300 -0.616365 -0.050149
27400 -1.96816 -0.275085
27500 -1.78396 0.34577
27600 0.717008 -1.23149
27700 2.91023 0.261521
27800 0.215903 -0.148958
27900 -0.562691 -0.152464
28000 0.169476 -0.729337
28100 -1.21874 -1.24635
28200 0.465396 -0.550207
28300 1.98537 0.5303
28400 0.872173 -0.186701
28500 -2.06645 0.895772
28600 -0.425611 -0.887793
28700 0.275892 0.266734
28800 -1.02853 1.07927
28900 0.400159 0.950372
29000 0.665202 0.594611
29100 0.712614 -2.20417
29200 -0.178762 0.114141
29300 0.328845 -0.133465
29400 -0.428835 0.389108
29500 1.28833 0.645557
29600 0.315365 -1.88619
29700 0.573579 -1.92763
29800 0.727765 0.589983
29900 0.457166 1.36215
30000 -0.4963 0.747146
30100 -1.33012 0.663878
30200 -0.818011 -0.653498
30300 0.625336 -0.397631
30400 -1.02269 0.532746
30500 1.29811 -0.800608
30600 0.300061 -0.214926
30700 -0.258566 0.672072
30800 0.111176 0.0622923
30900 -0.982468 -1.44414
31000 1.00919 -0.211153
31100 1.12924 0.586899
31200 0.804474 -1.88171
31300 -1.15699 -1.19697
31400 0.216033 0.884109
31500 -0.72421 0.492713
31600 0.0184942 0.4132
31700 -0.100761 1.28644
31800 1.55547 -0.557584
31900 -1.34091 -0.537725
32000 -0.524071 -0.639359
32100 -0.391727 -0.175322
32200 1.31727 1.02818
32300 -0.897822 0.95236
32400 0.193972 -1.7049
32500 2.23652 -0.980533
32600 1.308 -0.355929
32700 -0.0798192 0.626562
32800 -0.0354036 -0.53028
32900 -0.971567 0.529372
33000 -0.269297 0.303542
33100 -0.519311 -0.177692
33200 0.47514 -0.0764481
33300 0.664537 2.36614
33400 -0.111731 -1.8381
