# Time-averaged data for fix myat2
# TimeStep v_delta_x
100 10.2285
200 9.84714
300 9.84066
400 10.0237
500 9.98981
600 9.85399
700 9.87427
800 10.0926
900 10.5597
1000 11.1188
1100 11.2048
1200 11.12
1300 11.3482
1400 11.4409
1500 11.3555
1600 11.1141
1700 10.6976
1800 10.1437
1900 9.64357
2000 9.4678
2100 9.50326
2200 9.07554
2300 8.90576
2400 8.67548
2500 8.60764
2600 7.99407
2700 7.67221
2800 7.40612
2900 7.99928
3000 7.75199
3100 7.4201
3200 7.3351
3300 7.14574
3400 7.17276
3500 7.3159
3600 7.74175
3700 8.10319
3800 8.15903
3900 7.94847
4000 7.99676
4100 7.8448
4200 7.49458
4300 6.69979
4400 6.04282
4500 6.05615
4600 6.24516
4700 6.14421
4800 6.24554
4900 6.46494
5000 7.16336
5100 7.31692
5200 7.44002
5300 7.43589
5400 7.90047
5500 8.20284
5600 7.64803
5700 7.38662
5800 7.51358
5900 7.2883
6000 6.65802
6100 6.98234
6200 7.30199
6300 7.2664
6400 7.22194
6500 7.61309
6600 7.50641
6700 7.17922
6800 6.7535
6900 6.81362
7000 6.57708
7100 6.36164
7200 6.11655
7300 6.25011
7400 6.60832
7500 7.1335
7600 6.61229
7700 6.44131
7800 6.44824
7900 6.80141
8000 6.94054
8100 6.83096
8200 7.33598
8300 7.48316
8400 7.14495
8500 6.64351
8600 6.22538
8700 7.10357
8800 7.9643
8900 7.91443
9000 7.04211
9100 6.22623
9200 5.91916
9300 6.16034
9400 6.52217
9500 7.03869
9600 7.05463
9700 7.02395
9800 6.83329
9900 7.02669
10000 6.7435
10100 6.6399
10200 6.32595
10300 6.00633
10400 6.35083
10500 6.35084
10600 6.44827
10700 6.8658
10800 6.74386
10900 6.89565
11000 7.28915
11100 7.74443
11200 7.34602
11300 7.27281
11400 7.60016
11500 8.06754
11600 8.23209
11700 8.34588
11800 8.42802
11900 8.648
12000 8.66283
12100 8.3112
12200 7.89465
12300 7.5664
12400 7.61954
12500 7.28414
12600 6.70034
12700 6.36634
12800 6.14566
12900 6.13915
13000 6.54056
13100 6.63238
13200 6.30625
13300 5.8422
13400 5.62158
13500 6.17384
13600 6.72475
13700 7.00237
13800 6.76475
13900 6.53279
14000 6.22345
14100 6.4222
14200 6.33019
14300 6.08779
14400 5.89245
14500 5.95305
14600 6.08515
14700 5.90068
14800 5.55543
14900 5.61601
15000 5.55867
15100 5.25511
15200 4.97862
15300 4.9355
15400 4.70395
15500 4.40435
15600 4.07938
15700 4.13195
15800 4.40833
15900 4.89136
16000 4.93865
16100 5.03206
16200 5.31116
16300 5.46797
16400 5.22316
16500 4.97993
16600 4.82615
16700 4.65644
16800 4.54656
16900 4.50833
17000 4.77377
17100 4.90675
17200 4.85433
17300 4.70206
17400 4.79563
17500 4.66733
17600 4.45648
17700 4.20606
17800 4.18269
17900 4.15622
18000 3.63018
